Tarih,TUFE_Genel,Cekirdek_C,Hizmet,Mallar,Enerji,Kira,Beklenti_Piyasa,Beklenti_ReelSektor,Beklenti_Hanehalki,TUFE_Aylik_Pct,TUFE_Yillik_Pct,Cekirdek_Yillik_Pct,Hizmet_Yillik_Pct
2012-01-01,6.35,6.93,5.65,6.77,8.0,5.13,,,,,,,
2012-02-01,6.38,6.92,5.67,6.81,8.07,5.14,,,,0.47244094488190225,,,
2012-03-01,6.41,6.95,5.69,6.84,8.23,5.15,,,,0.4702194357366851,,,
2012-04-01,6.5,7.09,5.72,6.97,8.48,5.17,,,,1.4040561622464809,,,
2012-05-01,6.49,7.19,5.75,6.93,8.32,5.19,,,,-0.15384615384614886,,,
2012-06-01,6.43,7.21,5.8,6.83,8.18,5.22,,,,-0.924499229583986,,,
2012-07-01,6.42,7.19,5.84,6.79,8.1,5.25,,,,-0.15552099533436836,,,
2012-08-01,6.45,7.17,5.86,6.83,8.28,5.28,,,,0.4672897196261738,,,
2012-09-01,6.52,7.18,5.91,6.9,8.49,5.3,,,,1.0852713178294504,,,
2012-10-01,6.65,7.27,5.96,7.07,8.94,5.34,,,,1.9938650306748684,,,
2012-11-01,6.67,7.34,5.97,7.1,8.92,5.37,,,,0.3007518796992459,,,
2012-12-01,6.7,7.34,6.0,7.13,8.91,5.39,,,,0.4497751124437732,,,
2013-01-01,6.81,7.33,6.05,7.27,8.96,5.41,,,,1.6417910447761086,7.244094488188968,5.772005772005784,7.079646017699104
2013-02-01,6.83,7.32,6.08,7.28,9.01,5.43,,,,0.2936857562408246,7.053291536050166,5.780346820809257,7.231040564373892
2013-03-01,6.87,7.35,6.1,7.34,8.99,5.46,,,,0.5856515373352966,7.176287051482055,5.755395683453224,7.205623901581704
2013-04-01,6.9,7.47,6.13,7.37,8.9,5.48,,,,0.4366812227074357,6.153846153846154,5.359661495063461,7.167832167832167
2013-05-01,6.91,7.59,6.18,7.36,8.84,5.51,,,,0.14492753623187582,6.471494607087824,5.563282336578568,7.478260869565223
2013-06-01,6.97,7.62,6.25,7.41,8.91,5.54,,,,0.868306801736618,8.39813374805598,5.68654646324549,7.758620689655182
2013-07-01,6.99,7.63,6.3,7.41,9.01,5.57,,,,0.2869440459110528,8.878504672897192,6.119610570236422,7.8767123287671215
2013-08-01,6.98,7.63,6.34,7.39,9.04,5.6,,,,-0.14306151645206988,8.217054263565892,6.41562064156207,8.19112627986347
2013-09-01,7.03,7.68,6.4,7.44,9.17,5.64,,,,0.7163323782234832,7.8220858895705625,6.9637883008356605,8.291032148900168
2013-10-01,7.16,7.82,6.43,7.61,9.13,5.67,,,,1.849217638691325,7.6691729323308255,7.565337001375516,7.885906040268442
2013-11-01,7.16,7.87,6.45,7.6,9.16,5.71,,,,0.0,7.346326836581718,7.220708446866486,8.04020100502514
2013-12-01,7.19,7.86,6.47,7.64,9.37,5.74,,,,0.41899441340782495,7.313432835820888,7.084468664850152,7.833333333333337
2014-01-01,7.34,7.88,6.53,7.83,9.44,5.77,,,,2.0862308762169546,7.782672540381785,7.5034106412005475,7.933884297520666
2014-02-01,7.37,7.94,6.58,7.85,9.44,5.79,,,,0.4087193460490468,7.906295754026349,8.469945355191255,8.223684210526304
2014-03-01,7.45,8.03,6.63,7.95,9.39,5.81,,,,1.085481682496603,8.44250363901018,9.251700680272101,8.688524590163937
2014-04-01,7.55,8.2,6.66,8.09,9.3,5.84,,,,1.342281879194629,9.420289855072461,9.772423025435062,8.646003262642754
2014-05-01,7.58,8.33,6.71,8.11,9.25,5.87,,,,0.3973509933774766,9.696092619392193,9.74967061923584,8.576051779935279
2014-06-01,7.6,8.35,6.77,8.12,9.28,5.92,,,,0.26385224274405594,9.038737446197986,9.580052493438318,8.319999999999993
2014-07-01,7.64,8.38,6.85,8.13,9.35,5.96,,,,0.5263157894736858,9.298998569384832,9.829619921363042,8.73015873015872
2014-08-01,7.65,8.37,6.91,8.11,9.31,6.0,,,,0.13089005235602524,9.598853868194833,9.698558322411532,8.990536277602533
2014-09-01,7.66,8.39,6.97,8.09,9.29,6.05,,,,0.13071895424836555,8.961593172119485,9.244791666666675,8.906249999999982
2014-10-01,7.8,8.52,7.02,8.29,9.54,6.1,,,,1.8276762402088753,8.93854748603351,8.951406649616356,9.175738724727832
2014-11-01,7.82,8.58,7.02,8.31,9.4,6.13,,,,0.2564102564102555,9.21787709497206,9.021601016518431,8.837209302325565
2014-12-01,7.78,8.54,7.03,8.25,9.23,6.16,,,,-0.5115089514066473,8.205841446453398,8.651399491094125,8.655332302936646
2015-01-01,7.87,8.56,7.1,8.34,9.15,6.19,6.81,8.6,22.35,1.1568123393316254,7.220708446866486,8.629441624365498,8.728943338437967
2015-02-01,7.92,8.55,7.15,8.41,9.26,6.22,6.69,8.4,23.65,0.6353240152477735,7.462686567164178,7.682619647355171,8.662613981762913
2015-03-01,8.02,8.6,7.19,8.53,9.41,6.25,6.78,8.6,27.3,1.262626262626254,7.651006711409392,7.098381070983817,8.446455505279049
2015-04-01,8.15,8.78,7.25,8.7,9.45,6.29,6.91,8.5,24.62,1.6209476309227089,7.947019867549665,7.073170731707323,8.858858858858865
2015-05-01,8.19,8.95,7.3,8.74,9.56,6.32,6.85,8.6,28.0,0.4907975460122671,8.047493403693927,7.442977190876343,8.792846497764529
2015-06-01,8.15,8.98,7.36,8.64,9.54,6.36,7.0,8.9,23.63,-0.48840048840047556,7.236842105263164,7.544910179640718,8.714918759231916
2015-07-01,8.16,8.99,7.42,8.63,9.5,6.41,7.05,8.7,24.22,0.12269938650306678,6.806282722513091,7.279236276849632,8.32116788321169
2015-08-01,8.19,9.01,7.51,8.63,9.43,6.46,7.04,8.6,23.13,0.3676470588235281,7.058823529411762,7.646356033452806,8.683068017366136
2015-09-01,8.27,9.08,7.57,8.71,9.48,6.51,7.25,8.7,27.45,0.9768009768009733,7.963446475195823,8.224076281287228,8.608321377331428
2015-10-01,8.39,9.28,7.62,8.88,9.55,6.56,7.34,8.7,24.55,1.45102781136639,7.564102564102582,8.920187793427225,8.547008547008561
2015-11-01,8.45,9.37,7.63,8.96,9.52,6.61,7.42,8.6,22.21,0.7151370679379987,8.05626598465472,9.207459207459202,8.689458689458696
2015-12-01,8.47,9.36,7.65,8.98,9.5,6.64,7.56,8.7,21.35,0.2366863905325589,8.868894601542433,9.601873536299777,8.819345661450928
2016-01-01,8.62,9.39,7.75,9.16,9.58,6.69,7.92,8.9,23.18,1.7709563164108433,9.529860228716625,9.696261682243001,9.154929577464799
2016-02-01,8.62,9.38,7.8,9.13,9.52,6.72,7.96,9.1,24.16,0.0,8.838383838383823,9.707602339181287,9.090909090909083
2016-03-01,8.62,9.42,7.83,9.11,9.58,6.76,7.89,9.0,23.5,0.0,7.4812967581047385,9.534883720930232,8.901251738525717
2016-04-01,8.68,9.6,7.88,9.19,9.61,6.81,7.78,8.7,22.76,0.6960556844547661,6.503067484662561,9.339407744874716,8.6896551724138
2016-05-01,8.73,9.73,7.94,9.24,9.72,6.87,7.81,8.7,22.34,0.5760368663594528,6.593406593406614,8.715083798882706,8.767123287671241
2016-06-01,8.78,9.76,7.97,9.28,9.77,6.92,7.6,8.6,21.7,0.572737686139746,7.730061349693229,8.685968819599111,8.288043478260864
2016-07-01,8.88,9.77,8.06,9.39,9.73,6.97,7.59,8.6,23.03,1.1389521640091216,8.823529411764719,8.676307007786432,8.625336927223737
2016-08-01,8.85,9.77,8.12,9.32,9.71,7.03,7.61,8.8,21.43,-0.33783783783785104,8.058608058608051,8.435072142064381,8.122503328894792
2016-09-01,8.87,9.78,8.19,9.31,9.91,7.1,7.62,8.7,16.92,0.2259887005649608,7.255139056831927,7.709251101321568,8.19022457067371
2016-10-01,8.99,9.94,8.22,9.49,10.0,7.16,7.61,8.6,16.7,1.3528748590755368,7.151370679380209,7.1120689655172376,7.874015748031504
2016-11-01,9.04,10.02,8.24,9.55,10.1,7.2,7.87,8.7,19.82,0.5561735261401468,6.982248520710055,6.937033084311639,7.994757536041952
2016-12-01,9.19,10.06,8.27,9.76,10.32,7.25,8.04,8.9,20.88,1.65929203539823,8.500590318772128,7.4786324786324965,8.104575163398685
2017-01-01,9.42,10.11,8.4,10.04,10.69,7.31,8.19,9.3,22.2,2.502720348204579,9.280742459396762,7.66773162939296,8.387096774193559
2017-02-01,9.49,10.19,8.45,10.13,10.85,7.36,8.21,9.4,23.99,0.7430997876857859,10.092807424593975,8.635394456289958,8.333333333333325
2017-03-01,9.59,10.31,8.51,10.25,10.75,7.39,8.15,9.6,20.94,1.0537407797681642,11.25290023201857,9.447983014862004,8.684546615581091
2017-04-01,9.71,10.51,8.58,10.4,10.68,7.43,8.27,10.1,23.94,1.2513034410844837,11.866359447004626,9.47916666666666,8.883248730964466
2017-05-01,9.76,10.65,8.66,10.43,10.56,7.49,8.41,10.2,22.73,0.5149330587023604,11.798396334478811,9.45529290853031,9.068010075566747
2017-06-01,9.73,10.66,8.7,10.36,10.5,7.53,8.32,10.3,22.63,-0.30737704918032405,10.820045558086576,9.221311475409832,9.15934755332497
